PLAYER,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,"OPP PTS
OFF TOV","OPP PTS
2ND CHANCE","OPP PTS
FB","OPP PTS
PAINT","DEF
WS"
Aaron Brooks,MIN,33,32,19,13,5.9,119.1,0.3,6.4,8.2,0.2,20.7,0,0,2.4,1.7,1.1,5.1,-0.003
Aaron Gordon,ORL,22,58,19,39,32.9,107.1,6.4,21.3,27.7,1,18.4,0.8,22.5,11.4,8.4,9,35.3,0.031
Aaron Harrison,DAL,23,9,2,7,25.9,112,2.2,10.6,13.2,1,29,0.2,9.1,7.2,6.7,7.2,25.3,0.009
Aaron Jackson,HOU,32,1,0,1,34.5,104.1,1,3.7,4.3,0,0,0,0,11,6,7,36,0.041
Abdel Nader,BOS,24,48,33,15,10.9,108.2,1.2,12.2,14.9,0.3,20,0.2,23.3,4.8,2.3,3,9.8,0.009
Adreian Payne,ORL,27,5,0,5,8.5,120.9,1.4,25,36.8,0.4,25,0,0,3,3.2,2.6,8.4,-0.006
Al Horford,BOS,32,72,47,25,31.6,101.1,5.9,19.7,25.1,0.6,12.8,1.1,35.9,9.9,7.2,6.8,28,0.052
Al Jefferson,IND,33,36,17,19,13.4,107.9,3.1,25.9,34.2,0.4,21.3,0.6,52.3,3.6,3.8,3.3,12.6,0.011
Al-Farouq Aminu,POR,27,69,40,29,30,103.5,6.2,22.2,28.1,1.1,23.4,0.6,15.7,9.1,7.6,7.5,26.9,0.041
Alan Williams,PHX,25,5,1,4,14.1,92.3,3.8,27.1,35.8,1,27.8,0.2,11.1,4.6,2.8,2.2,10.8,0.036
Alec Burks,UTA,26,64,37,27,16.5,105.8,2.7,18.9,23.4,0.6,22.3,0.1,7.4,5.8,3.7,3.1,14.8,0.018
Alec Peters,PHX,23,20,2,18,11.2,106.6,1.5,13.1,16.2,0.1,6.1,0.1,8.3,2.8,2.9,2.8,9.8,0.011
Alex Abrines,OKC,24,75,42,33,15.1,106.3,1.2,9.2,12.2,0.5,19,0.1,6.7,4.3,4.3,3.2,13.5,0.015
Alex Caruso,LAL,24,37,16,21,15.2,101.5,1.4,9.7,12.4,0.6,22.3,0.3,20.8,5.6,3.8,4.3,15.7,0.024
Alex Len,PHX,24,69,20,49,20.2,110.2,5,26,33.8,0.4,13.8,0.9,41.8,7.7,5.5,5.6,19.2,0.011
Alex Poythress,IND,24,25,10,15,4.2,116.5,0.4,12.7,18.2,0.1,21.4,0,11.1,0.8,1.3,1.1,4.8,-0.001
Alfonzo McKinnie,TOR,25,14,13,1,3.8,111.6,0.4,11.3,17.1,0.1,10,0.1,20,1.1,1.6,0.4,3.7,0.001
Allen Crabbe,BKN,26,75,25,50,29.3,108.8,3.9,14.4,19,0.6,16.1,0.5,15.7,9.6,8.4,6.9,29.6,0.021
Amir Johnson,PHI,31,74,47,27,15.8,101.3,2.8,19,23.5,0.6,19.7,0.6,40.4,6.6,3.6,3.7,14.2,0.026
Andre Drummond,DET,24,78,37,41,33.7,106.9,10.9,36.6,46.6,1.5,27.3,1.6,59.3,11.1,8.2,7.6,31.4,0.032
Andre Iguodala,GSW,34,64,46,18,25.4,100.5,3.1,12.6,16.4,0.8,20.9,0.6,14.7,9.9,7.1,6.5,24.4,0.044
Andre Ingram,LAL,32,2,1,1,32.1,93.8,2.5,8.1,9.3,1.5,18.8,1.5,37.5,7.5,4,1,35,0.085
Andre Roberson,OKC,26,39,24,15,26.6,96.4,2.8,12.4,15.4,1.2,18.3,0.9,35,7.8,5.2,5.2,21.3,0.058
Andrew Bogut,LAL,33,23,7,16,9.4,99.7,2.3,25.1,31.3,0.2,10.8,0.6,54.2,3.7,2.8,2.4,8.2,0.017
Andrew Harrison,MEM,23,56,17,39,23.7,108.2,1.9,9.8,12.4,0.7,21.1,0.5,19.4,7.6,5.2,7.4,19.3,0.018
Andrew White III,ATL,24,15,1,14,13.9,110.8,2,14.7,18.8,0.2,12,0.1,10,6.3,3.9,4.1,12.3,0.007
Andrew Wiggins,MIN,23,82,47,35,36.3,107.6,3.4,10.7,14,1.1,17.3,0.6,18.2,11,9.6,9.9,33.8,0.031
Ante Zizic,CLE,21,32,21,11,6.7,114.1,1.1,20.3,25.5,0.1,7.4,0.4,61.9,2.6,1.7,1.4,6.9,0
Anthony Brown,MIN,25,1,0,1,3.7,93.4,0,0,0,0,0,0,0,4,2,0,0,0.012
Anthony Davis,NOP,25,75,45,30,36.4,103.4,8.6,24.1,31.6,1.5,24.3,2.6,53.5,12.2,10.6,10.9,34.8,0.05
Anthony Tolliver,DET,33,79,37,42,22.2,104.8,2.4,12.2,15.6,0.4,11.7,0.3,15.4,6.3,4.8,4.3,19,0.027
Antonio Blakeney,CHI,21,19,3,16,16.5,109.4,1.5,10,12.8,0.4,16.3,0.1,6.3,4.5,3.7,3.4,14.3,0.01
Antonius Cleveland,ATL,24,17,7,10,7.2,102,0.6,9.6,12.1,0.4,35,0.3,33.3,2.2,2,1.8,6.6,0.012
Aron Baynes,BOS,31,81,54,27,18.3,97,3.8,21.6,26.3,0.3,10.2,0.6,37.2,5.6,3.9,3.6,15.4,0.039
Arron Afflalo,ORL,32,53,16,37,12.9,106.4,1.2,9.6,13.1,0.1,5.2,0.2,12.2,4.8,3.6,3.4,12.2,0.013
Austin Rivers,LAC,25,61,30,31,33.7,110.5,1.9,6.5,8.5,1.2,23.3,0.3,9.1,12,8.8,11.1,32.7,0.017
Avery Bradley,LAC,27,46,22,24,31.2,107,2,7.6,9.8,1.1,22.4,0.2,7.5,10,7.1,6.9,29,0.028
Bam Adebayo,MIA,20,69,34,35,19.8,102.1,3.8,22,27,0.5,15.9,0.6,26.8,6.9,4.5,4.4,17.7,0.03
Ben McLemore,MEM,25,56,7,49,19.5,110.6,1.9,11.4,15,0.7,21.7,0.3,13.5,8.4,4.8,6.2,17.4,0.01
Ben Moore,IND,23,2,1,1,4.6,163.6,0.5,33.3,33.3,0,0,0,0,3.5,1,9.5,4,-0.031
Ben Simmons,PHI,21,81,51,30,33.7,101.4,6.3,19.5,24.8,1.7,28.9,0.9,24.1,12.7,8.6,6.9,29,0.055
Bismack Biyombo,ORL,25,82,25,57,18.2,110.4,4,24.1,33.3,0.3,10.1,1.2,52.5,7.1,5.7,5,18.3,0.009
Blake Griffin,DET,29,58,28,30,34,105.6,6.1,19.5,25.4,0.7,13.3,0.3,9.9,12,9.5,9.2,30.7,0.038
Boban Marjanovic,LAC,29,39,18,21,8.7,105.4,2.5,30.8,37.8,0.3,19.2,0.3,44,3.3,1.7,2,6.2,0.01
